"","today","region","district","hh_id","shed","a13","b01","b02","b02.1","b02.2","b02.3","b02.4","b02.5","b02.6","b02.7","b02.99","b03","b04","b05","b06","b07","b08","b09","b10","b11","b12","b13","b14","b14a","b15","b16","c05_dry","c05_rain","c05","c05a","c06_dry","c06_rain","c06","c06calc","c07","c07.11","c07.12","c07.13","c07.14","c07.15","c07.99","c07a","c08","d01","d02","d03","d04","d05","d06","d06a","d07","d08","d08.1","d08.2","d08.3","d08.4","d08.5","d08.99","d08a","e01","e02","e02a","e03","e04","e04a","e05","e06","e07","e18","e18a","e19","e20","e21","e22","e23","e24","e25","e26","e27","e28","f05","f06","f07","f08","f09","f10","f11a","f11b","f11c","f11c_other","f12","f13","f14","g01","g02","g03","g04","g05","g06","g07","g08","g09","g10","g11","g11.1","g11.2","g11.3","g11.4","g11.99","g11a","g12","g13","g13.1","g13.2","g13.3","g13.99","g13a","g14","g15"
"21","2020-12-02","Western","KIRUHURA","T_24","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",250,600,155125,"Liters",300,500,146000,-0.058823529411765,"",NA,NA,NA,NA,NA,NA,"",NA,2,NA,NA,NA,NA,NA,2,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",3,2,NA,1,"",4,2,1,1,1,2,2,2,2,2,3,2,2,1,1,2,2,2,2,"",3,3,0,2,2,2,2,2,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,4
"22","2020-12-01","Western","KIRUHURA","T_18","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",450,600,191625,"Liters",450,700,209875,0.095238095238095,"",NA,NA,NA,NA,NA,NA,"",NA,1,1,0,0,0,4,NA,2,"3 5 4",0,0,1,1,1,0,"",2,NA,"",2,NA,"",3,1,15,1,"",3,NA,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2,2,2,"",3,2,0,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",3,2
"23","2020-12-02","Western","MBARARA","T_68","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",250,230,87600,"Liters",80,300,69350,-0.208333333333333,"11 14 12 13 15",1,1,1,1,1,0,"",2,2,NA,NA,NA,NA,NA,1,3,"",NA,NA,NA,NA,NA,NA,"",1,4,"",1,4,"",4,2,NA,1,"",3,NA,2,2,NA,2,2,2,1,1,2,6,6,1,1,1,1,2,2,"",3,4,99,1,1,1,2,1,1,2,2,4,1,"4 2",0,1,0,1,0,"",4,"",NA,NA,NA,NA,"",4,2
"24","2020-12-04","Western","NAKASEKE","T_632","C",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"25","2020-12-05","Western","NAKASEKE","T_442","",2,"2019-10-01","3",0,0,1,0,0,0,0,0,"",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",1,"2021-02-01",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"26","2020-12-02","Western","KIRUHURA","T_129","SW",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",250,500,136875,"Liters",200,450,118625,-0.133333333333333,"11 13",1,0,1,0,0,0,"",3,1,0,0,1,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",3,2,NA,1,"",4,3,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,"",3,2,0,1,1,1,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",2,1
"27","2020-12-03","Western","NAKASEKE","T_641","C",2,"2020-02-01","99 5",0,0,0,0,1,0,0,1,"He left the business due to the pandemic",1,2,2,2,1,2,2,1,1,2,2,"",1,"2021-03-01",NA,NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,NA
"28","2020-12-03","Western","NAKASEKE","T_456","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",300,400,127750,"Liters",250,200,82125,-0.357142857142857,"14 11 15",1,0,0,1,1,0,"",2,1,1,0,0,3,4,NA,2,"5 3 1 4 2",1,1,1,1,1,0,"",1,4,"",1,4,"",4,2,NA,1,"",3,NA,2,2,NA,2,2,2,1,1,2,6,6,1,1,1,2,2,2,"",3,4,4,1,1,1,1,1,1,1,1,2,2,"",NA,NA,NA,NA,NA,"",5,"1",1,0,0,0,"",3,5
"29","2020-12-02","Western","NAKASEKE","T_252","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",30,50,14600,"Liters",40,60,18250,0.25,"11 99",1,0,0,0,0,1,"There are more cows being milked this year",3,1,2,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",1,4,"",1,4,"",2,2,NA,1,"",2,3,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,2,2,"",2,2,2,1,2,1,1,1,2,2,2,3,NA,"",NA,NA,NA,NA,NA,"",1,"2",0,1,0,0,"",3,3
"30","2020-12-04","Western","KIBOGA","T_215","C",1,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",150,250,73000,"Liters",200,260,83950,0.15,"11",1,0,0,0,0,0,"",2,1,1,0,0,0,3,NA,NA,"",NA,NA,NA,NA,NA,NA,"",2,NA,"",2,NA,"",4,2,NA,2,"",2,3,1,1,1,1,2,1,1,1,2,6,6,1,1,2,1,2,1,"Offer loans",3,1,0,2,2,2,2,2,2,2,2,2,2,"",NA,NA,NA,NA,NA,"",4,"",NA,NA,NA,NA,"",4,5
