"","ID","enumerator","date","district","sub_county","q1","q1b","mcc.q4","mcc.q5","mcc.q6","mcc.q8","mcc.q9","mcc.q11","mcc.q12","mcc.q13","mcc.q14","mcc.q15","mcc.q16","mcc.q17","mcc.q18","mcc.q19","mcc.q20","mcc.q21","mcc.q22","mcc.q23","mcc.q24","mcc.q25","mcc.q26","mcc.q27","mcc.q28.1","mcc.q28.2","mcc.q28.3","mcc.q28.4","mcc.q28.5","mcc.q28.96","mcc.q28.98","mcc.q29.1","mcc.q29.2","mcc.q29.3","mcc.q29.4","mcc.q29.5","mcc.q29.6","mcc.q29.7","mcc.q29.8","mcc.q29.9","mcc.q29.96","mcc.q29.98","mcc.q30","mcc.q31","mcc.q32","mcc.q33","mcc.q34","mcc.q35","mcc.q36","mcc.q37","mcc.q38","mcc.q39","mcc.q40","mcc.q41","mcc.q42","mcc.q43.1","mcc.q43.2","mcc.q43.3","mcc.q43.4","mcc.q43.5","mcc.q43.6","mcc.q43.7","mcc.q43.8","mcc.q43.9","mcc.q43.10","mcc.q43.11","mcc.q43.96","mcc.q43.98","mcc.q44","mcc.q45","mcc.q46","mcc.q47","mcc.q48","mcc.q49","mcc.q50","mcc.q51","mcc.q52.a","mcc.q52.b","mcc.q52.c","mcc.q52.d","mcc.q52.e","mcc.q52.f","mcc.q52.g","mcc.q52.h","mcc.q52.i","mcc.q52.j","mcc.q52.96","mcc.q53.a","mcc.q53.b","mcc.q53.c","mcc.q53.d","mcc.q53.e","mcc.q53.f","mcc.q53.g","mcc.q53.h","mcc.q54","mcc.q55.1","mcc.q55.2","mcc.q55.3","mcc.q56","mcc.q57","mcc.q58.a","mcc.q58.b","mcc.q58.c","mcc.q58.96","mcc.q59","mcc.q60","shed"
"29","M_29","EN_7","12/4/2018","KIRUHURA","KENSHUNGA","Yes","n/a","Male",6,"Manager",1,"No","Yes","20","80000",7,"No","56","3500",0,"n/a",1,1,"200",4000,50,100,"08:00:00.000+03","12:00:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","No","n/a","n/a",1,"1/1/2012",8000,150,8000,1100,500,2000,4200,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,20,0,3,1,1,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",100,250000,"SW"
"30","M_30","EN_7","12/6/2018","KIRUHURA","KENSHINGA","Yes","n/a","Male",4,"Manager",3,"No","No","n/a","n/a",2,"No","5","1000",10,"600",3,3,"n/a",2960,50,100,"08:00:00.000+03","11:30:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","Yes","10","3",1,"1/1/2018",2960,15,1500,1200,600,1500,3000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,1,1,0,1,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",999,50000,"SW"
"31","M_31","EN_3","12/6/2018","KIRUHURA","KENSHUNGA","Yes","n/a","Male",4,"Mobilizer",1,"Yes","n/a","n/a","n/a",5,"Yes","n/a","n/a",8,"250",3,3,"n/a",6800,1500,4500,"08:00:00.000+03","13:30:00.000+03",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"3","No","n/a","n/a",1,"1/1/2000",600,3,600,750,400,1500,4500,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,0,0,1,1,1,1,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","Yes","TRUE","FALSE","FALSE","FALSE",300,300000,"SW"
"32","M_32","EN_2","12/6/2018","KIRUHURA","KENSHUNGA","Yes","n/a","Male",96,"Mobilizer",4,"Yes","n/a","n/a","n/a",2,"Yes","n/a","n/a",104,"6020",3,3,"n/a",7365,100,100,"07:30:00.000+03","11:30:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"3","No","n/a","n/a",3,"1/1/2014",2970,35,2000,500,500,800,2500,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,0,0,2,1,0,3,8,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes",FALSE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",400,50000,"SW"
"33","M_33","EN_10","12/6/2018","KIRUHURA","KESHUNGA","Yes","n/a","Male",6,"Other",6,"Yes","n/a","n/a","n/a",6,"No","14","20000",0,"n/a",3,3,"n/a",21000,95,100,"08:00:00.000+03","10:30:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2","Yes","1","96",1,"1/1/2016",50000,999,999,1000,500,20000,30000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,6,0,0,1,1,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","Yes","FALSE","FALSE","TRUE","FALSE",60,1000000,"SW"
"34","M_34","EN_7","12/8/2018","KIRUHURA","KAZO","Yes","n/a","Male",5,"Manager",4,"No","No","n/a","n/a",3,"No","12","250",29,"1000",3,3,"n/a",2100,80,100,"07:00:00.000+03","10:30:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","No","n/a","n/a",2,"1/1/2016",2100,12,850,900,450,750,1500,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,2,0,0,1,0,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes",FALSE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",999,150000,"SW"
"35","M_35","EN_7","12/8/2018","KIRUHURA","KAZO","Yes","n/a","Male",6,"Manager",3,"No","No","n/a","n/a",4,"No","10","600",7,"2000",2,2,"3000",3000,50,100,"08:00:00.000+03","11:00:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","No","n/a","n/a",1,"1/1/2013",3000,7,1500,1300,700,1700,3000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,0,0,4,1,1,1,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",999,100000,"SW"
"36","M_36","EN_8","12/8/2018","KIRUHURA","KAZO","Yes","n/a","Male",5,"Manager",3,"Yes","n/a","n/a","n/a",3,"No","10","150",52,"1750",3,2,"400",3000,70,100,"07:01:00.000+03","10:00:00.000+03",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2","Yes","3","96",3,"1/1/2013",2000,50,2900,1000,500,1800,3000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,3,4,1,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",999,999,"SW"
"37","M_37","EN_6","12/8/2018","KIRUHURA","KAZO","Yes","n/a","Male",2,"Other",3,"No","No","n/a","n/a",3,"Yes","n/a","n/a",40,"3000",3,3,"n/a",10000,30,50,"07:00:00.000+03","10:30:00.000+03",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"2","Yes","1","96",2,"1/1/2017",10000,35,3000,700,500,1000,4000,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,4,0,2,1,0,2,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",999,999,"SW"
"38","M_38","EN_4","9/10/2018","KIBOGA","KAPEKE ","Yes","n/a","Male",6,"Manager",3,"No","Yes","2","10000",5,"No","30","1000",150,"3200",3,3,"n/a",5000,40,96,"07:00:00.000+03","10:30:00.000+03",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1","Yes","2","96",1,"1/1/2010",2000,45,1800,800,883,2000,3800,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,10,8,0,4,1,1,0,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","Yes","TRUE","FALSE","FALSE","FALSE",70,294000,"C"
"39","M_39","EN_3","9/10/2018","KIBOGA","KAPEKE","Yes","n/a","Male",6,"Secretary",3,"Yes","n/a","n/a","n/a",4,"Yes","n/a","n/a",35,"3000",4,4,"n/a",5000,30,60,"08:30:00.000+03","10:30:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"3","No","n/a","n/a",3,"1/1/2008",999,999,999,1000,1000,2500,3000,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,2,0,3,1,1,2,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yes",FALSE,TRUE,TRUE,"Yes","Yes","TRUE","FALSE","FALSE","FALSE",140,300000,"C"
"40","M_40","EN_21","9/10/2018","KIBOGA","KAPEEKE","Yes","n/a","Male",4,"Manager",4,"Yes","n/a","n/a","n/a",2,"No","50","1800",18,"1000",3,3,"n/a",5000,20,60,"06:30:00.000+03","10:30:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1","No","n/a","n/a",2,"1/1/2011",2000,50,2000,1100,500,1100,3000,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,1,6,0,2,0,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"No","Yes","TRUE","FALSE","FALSE","FALSE",62,154800,"C"
"41","M_41","EN_21","9/10/2018","KIBOGA","KAPEEKE","Yes","n/a","Male",3,"Manager",4,"Yes","n/a","n/a","n/a",2,"No","27","1000",15,"1000",3,3,"n/a",5000,18,30,"07:00:00.000+03","10:30:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1","Yes","1","2",2,"1/1/2018",5000,42,1800,1100,700,900,1500,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,2,0,0,2,0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","Yes","TRUE","FALSE","FALSE","FALSE",999,999,"C"
"42","M_42","EN_22","9/10/2018","KIBOGA","KAPEKE","No","Yes","Male",5,"Secretary",1,"Yes","n/a","n/a","n/a",4,"No","15","600",110,"2900",3,3,"n/a",5100,39,88,"07:00:00.000+02","10:30:00.000+02",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"1","No","n/a","n/a",2,"1/1/2011",5100,180,5000,1200,950,2500,4800,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,4,2,3,4,1,2,2,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"No","Yes","TRUE","FALSE","FALSE","FALSE",40,140000,"C"
"43","M_43","EN_17","9/10/2018","KIBOGA","DWANIRO","Yes","n/a","Male",6,"Manager",3,"No","No","n/a","n/a",19,"No","150","5000",250,"10000",3,3,"n/a",25000,32,72,"07:00:00.000+03","10:00:00.000+03",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"n/a","No","n/a","n/a",1,"1/1/2011",5000,40,2500,1300,700,7000,15000,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,10,0,1,4,2,0,1,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Yes",TRUE,TRUE,TRUE,"Yes","No","n/a","n/a","n/a","n/a",70,300000,"C"
